state,Total_CAGR,EV_CAGR
Andaman & Nicobar,18.287114648390567,26.13
Andhra Pradesh,0.6524831812553034,54.35
Assam,20.133671761039995,118.87
Bihar,12.632359008334127,76.65
Chandigarh,10.530903800330904,164.58
Chhattisgarh,13.534969971206422,150.89
DNH and DD,14.94326952131393,137.85
Delhi,22.884347388479842,68.1
Goa,27.41019637797184,146.45
Gujarat,20.54567713183961,116.33
Haryana,17.68043389485452,41.07
Himachal Pradesh,9.155880316364474,53.81
Jammu and Kashmir,2.001721086334296,26.18
Jharkhand,9.663697196864662,69.89
Karnataka,25.283582187477993,93.24
Kerala,-3.8036968175662267,132.83
Ladakh,4.944735255839494,60.73
Madhya Pradesh,15.318181326806224,133.67
Maharashtra,17.308120978541798,101.89
Manipur,-28.593060692911408,124.5
Meghalaya,28.469074717044762,476.63
Nagaland,14.91617264396905,200.0
Odisha,13.537689701324362,102.94
Puducherry,15.904819209896125,105.44
Punjab,13.847676341760117,57.26
Rajasthan,21.497380306494197,81.87
Tamil Nadu,12.983148369212284,59.95
Tripura,10.944724734747059,229.5
Uttar Pradesh,8.361090148313387,137.7
Uttarakhand,15.969360527883758,74.57
West Bengal,5.71553743599309,150.62
